hotel,price,score,reviews_count,review_text,free_cancellation
Maison San Alfredo B&B, 440,9.4,1855,wonderful,Free Cancellation
Hotel Valentin, 320,8.4,1190,very good,Free Cancellation
Novotel Madrid City Las Ventas, 708,8.6,3176,excellent,No Free Cancellation
Hotel Montermoso, 280,8,4557,very good,Free Cancellation
Ocean Lounge, 230,8.2,543,very good,Free Cancellation
Turia Granada, 251,8.4,6539,very good,Free Cancellation
Hoteles Desconecta2, 610,9.2,652,wonderful,No Free Cancellation
Casona De Torres, 358,9.2,389,wonderful,No Free Cancellation
Hotel Rural Los Nogales, 506,9,336,wonderful,Free Cancellation
Casa Palacio RincÃ³n de la Catedral, 717,9.2,1322,wonderful,No Free Cancellation
Axel TWO Barcelona 4 Sup - Adults Only, 326,8.3,2763,very good,No Free Cancellation
Hotel Mediterraneo Valencia, 467,8.7,4700,excellent,No Free Cancellation
Hotel La Pradera de Marta, 240,8.2,418,very good,No Free Cancellation
Hotel Natursun, 223,7.8,4476,good,No Free Cancellation
Agroturismo Son Burgues, 544,9.1,172,wonderful,No Free Cancellation
Apartamentos Sharis, 274,9.1,865,wonderful,Free Cancellation
Sol Pelicanos Ocas, 332,7.5,2271,good,No Free Cancellation
Mercure Benidorm, 453,8.9,4146,excellent,No Free Cancellation
Gran Hotel Sardinero, 308,8.9,3824,excellent,No Free Cancellation
Hotel Santa Cristina Petit Spa, 380,8.5,1029,very good,Free Cancellation
Iberostar Waves Cala Millor - Adults Only, 348,8.7,598,excellent,No Free Cancellation
Aparthotel Areu, 503,9,332,wonderful,No Free Cancellation
Hostal Inn Madrid, 507,8.4,2800,very good,Free Cancellation
Gran Hotel Costa del Sol, 300,7.8,299,good,Free Cancellation
Zenit Abeba, 565,8.6,3376,excellent,Free Cancellation
Hotel Crisol de las RÃ­as, 160,8.7,2096,excellent,Free Cancellation
Port Benidorm Hotel & Spa 4* Sup, 356,8.6,5018,excellent,No Free Cancellation
El Avenida Palace, 524,8.6,5300,excellent,No Free Cancellation
Quinta Real Granada, 408,8.6,627,excellent,No Free Cancellation
Hotel Don Marcos, 367,9.6,566,exceptional,Free Cancellation
La Boheme Casa Rural, 300,9.6,112,exceptional,Free Cancellation
Hostal Tastavins, 234,8.2,312,very good,No Free Cancellation
Apartamentos El RincÃ³n de Usana Zona Zero, 696,9.9,615,exceptional,Free Cancellation
atLumbreras16, 297,9.2,1899,wonderful,No Free Cancellation
El Nogal Home, 216,8.4,1753,very good,Free Cancellation
Los Arcos, 275,8.4,1380,very good,Free Cancellation
Abad Toledo, 276,8.6,2664,excellent,Free Cancellation
CASA BORAL- Comfort exclusivo en plena naturaleza - Valle del Silencio, 433,9.6,15,exceptional,Free Cancellation
Habitaciones La Cuevona de Guitiriz Lugo, 274,9.3,454,wonderful,No Free Cancellation
Hotel Amaltea by Executive Sport, 288,7.4,1930,good,No Free Cancellation
Hotel Al-Andalus, 200,8,1198,very good,Free Cancellation
Hotel Rosa, 200,8.7,2125,excellent,Free Cancellation
BarcelÃ³ Tenerife," 1,104",8.5,2273,very good,Free Cancellation
Casual Pop Art Benidorm, 192,8.1,5984,very good,Free Cancellation
Hotel Puerta de Cazorla, 200,8.4,823,very good,Free Cancellation
R2 Hotel Pajara Beach, 802,8.5,632,very good,Free Cancellation
Aventura & Relax CabaÃ±as PeÃ±a la Higuera, 494,9.3,189,wonderful,Free Cancellation
Hotel Coia de Vigo, 263,8.4,3358,very good,Free Cancellation
Hotel BahÃ­a, 282,8.9,6676,excellent,Free Cancellation
Hotel Palacio Urgoiti, 294,8.7,1594,excellent,No Free Cancellation
Hotel Spa Congreso, 253,7.5,1958,good,Free Cancellation
Senator Granada, 223,8.4,3737,very good,No Free Cancellation
Masia Castellvi B&B, 386,9.3,361,wonderful,Free Cancellation
Hotel Marisa, 195,8.4,5362,very good,No Free Cancellation
Hotel Oasis, 176,8.3,6023,very good,No Free Cancellation
Hotel Posada de Vallina by MiRa, 328,8.6,2888,excellent,Free Cancellation
Hotel Las Tablas, 306,8.4,382,very good,No Free Cancellation
